DATAFLOW,LAST UPDATE,freq,c_birth,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2009,1259626,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2010,1274901,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2011,1294224,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2012,1322656,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2013,1364003,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2014,1414215,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2015,1483123,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2016,1588209,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2017,1649008,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2018,1690619,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2019,1722833,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,AT,2020,1760595,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2009,1443937,p
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2010,1503806,p
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2011,1628793,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2012,1677737,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2013,1722265,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2014,1748748,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2015,1783488,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2016,1845631,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2017,1876726,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2018,1916272,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2019,1968060,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BE,2020,2026370,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2011,78621,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2012,85076,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2013,96113,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2014,109239,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2015,123803,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2016,136421,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2017,145390,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2018,156505,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2019,171993,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,BG,2020,188729,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2011,1940349,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2012,2033702,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2013,2102964,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2014,2183206,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2015,2258196,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2016,2324461,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2017,2391480,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2018,2432519,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2019,2469381,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CH,2020,2509692,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2009,150781,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2010,188472,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2011,193943,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2012,200313,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2013,200842,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2014,191587,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2015,176693,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2016,172808,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2017,173791,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2018,181369,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2019,185528,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CY,2020,191415,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2009,384161,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2010,398493,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2011,387971,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2012,390843,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2013,387337,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2014,396156,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2015,416454,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2016,433290,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2017,465056,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2018,467580,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2019,507051,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,CZ,2020,533639,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2009,9548865,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2010,9812263,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2011,8935603,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2012,9117874,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2013,9456225,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2014,9807877,e
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2015,10220418,e
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2016,10908255,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2017,12105436,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2018,13745843,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2019,14879635,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DE,2020,15040708,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2009,486003,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2010,500772,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2011,517230,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2012,531540,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2013,548411,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2014,569596,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2015,595876,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2016,636666,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2017,668090,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2018,690549,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2019,707880,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,DK,2020,715936,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2009,220315,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2010,217890,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2011,212685,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2012,210842,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2013,198411,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2014,196558,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2015,194664,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2016,193813,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2017,192535,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2018,196207,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2019,197896,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EE,2020,198306,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2009,1304670,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2010,1321149,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2011,1325255,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2012,1312519,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2013,1279516,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2014,1265165,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2015,1242924,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2016,1220395,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2017,1250863,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2018,1277861,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2019,1307471,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,EL,2020,1348174,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2009,6225516,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2010,6280062,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2011,6282205,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2012,6294954,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2013,6174740,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2014,5958308,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2015,5891208,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2016,5918341,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2017,6024698,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2018,6198833,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2019,6538961,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,ES,2020,6996825,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2009,214118,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2010,228481,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2011,243217,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2012,260856,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2013,279743,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2014,297812,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2015,314856,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2016,329219,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2017,348986,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2018,363717,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2019,377360,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FI,2020,393555,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2009,7245620,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2010,7309986,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2011,7335966,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2012,7463157,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2013,7543950,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2014,7746520,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2015,7915838,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2016,8028227,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2017,8098872,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2018,8199663,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2019,8428660,p
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,FR,2020,8521829,p
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2013,574383,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2014,568678,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2015,561093,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2016,547929,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2017,539588,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2018,528982,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2019,527308,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HR,2020,533769,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2009,424031,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2010,436616,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2011,443295,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2012,401769,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2013,423317,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2014,447029,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2015,475508,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2016,503787,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2017,513649,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2018,536182,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2019,564761,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,HU,2020,593937,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2009,735461,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2010,730542,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2011,737219,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2012,772826,b
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2013,760960,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2014,754664,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2015,759256,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2016,773649,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2017,796410,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2018,811245,
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2019,844412,e
ESTAT:TPS00178(1.0),18/11/21 23:00:00,A,FOR,TOTAL,NR,T,IE,2020,875559,
